,id,nom,commune,isActive,latitude,longitude,cityRank,code_commune
3301,3130,Saint-Philibert,"{'codeCommune': '38446', 'nom': ""Saint-Pierre-d'Entremont"", 'availableForSeniors': False}",True,45.380609,5.850624,,38446
3302,3131,Le Villard,"{'codeCommune': '38446', 'nom': ""Saint-Pierre-d'Entremont"", 'availableForSeniors': False}",True,45.397861,5.843459,,38446
3303,3132,Office du tourisme,"{'codeCommune': '38446', 'nom': ""Saint-Pierre-d'Entremont"", 'availableForSeniors': False}",True,45.415077,5.854733,,38446
3304,3133,Mairie,"{'codeCommune': '38446', 'nom': ""Saint-Pierre-d'Entremont"", 'availableForSeniors': False}",True,45.415506,5.853551,,38446
3305,4377,Petichet - Nord,"{'codeCommune': '38462', 'nom': 'Saint-Théoffrey', 'availableForSeniors': False}",True,44.999601,5.772516,,38462
3306,8687,Le Bourg,"{'codeCommune': '38470', 'nom': 'La Salle-en-Beaumont', 'availableForSeniors': False}",True,44.8636913,5.8587855,1.0,38470
3307,8688,Les Souchons,"{'codeCommune': '38470', 'nom': 'La Salle-en-Beaumont', 'availableForSeniors': False}",True,44.8661931,5.8494084,2.0,38470
3308,7696,Place du Village (D512),"{'codeCommune': '38471', 'nom': 'Le Sappey-en-Chartreuse', 'availableForSeniors': False}",True,45.259495,5.777066,,38471
3309,7697,Le Gouillat (D512),"{'codeCommune': '38471', 'nom': 'Le Sappey-en-Chartreuse', 'availableForSeniors': False}",True,45.254721,5.77111,,38471
3310,7684,le Bas Siévoz,"{'codeCommune': '38489', 'nom': 'Siévoz', 'availableForSeniors': False}",True,44.9031084,5.8365157,1.0,38489
3311,4373,Nantizon,"{'codeCommune': '38499', 'nom': 'Susville', 'availableForSeniors': False}",True,44.9175,5.780947,,38499
3312,4374,Le Villaret,"{'codeCommune': '38499', 'nom': 'Susville', 'availableForSeniors': False}",True,44.927318,5.776839,,38499
3313,4375,Les Moutières,"{'codeCommune': '38499', 'nom': 'Susville', 'availableForSeniors': False}",True,44.934598,5.771166,,38499
3314,4376,Le Crey,"{'codeCommune': '38499', 'nom': 'Susville', 'availableForSeniors': False}",True,44.941116,5.764651,,38499
3315,3012,Mairie,"{'codeCommune': '38501', 'nom': 'Tencin', 'availableForSeniors': False}",True,45.308243,5.957259,,38501
3316,3013,Parking centrale,"{'codeCommune': '38501', 'nom': 'Tencin', 'availableForSeniors': False}",True,45.306743,5.960587,,38501
3317,3015,Espace culturel,"{'codeCommune': '38501', 'nom': 'Tencin', 'availableForSeniors': False}",True,45.310682,5.960062,,38501
3318,3017,Pré Sec,"{'codeCommune': '38501', 'nom': 'Tencin', 'availableForSeniors': False}",True,45.303975,5.953692,,38501
3319,2735,Le Carré,"{'codeCommune': '38503', 'nom': 'La Terrasse', 'availableForSeniors': False}",True,45.314978,5.923656,,38503
3320,2736,Le Carré,"{'codeCommune': '38503', 'nom': 'La Terrasse', 'availableForSeniors': False}",True,45.31558,5.924233,,38503
3321,2737,La Mure,"{'codeCommune': '38503', 'nom': 'La Terrasse', 'availableForSeniors': False}",True,45.31852,5.926305,,38503
3322,2738,La Dérochat,"{'codeCommune': '38503', 'nom': 'La Terrasse', 'availableForSeniors': False}",True,45.329511,5.937143,,38503
3323,2739,Route de St Bernard,"{'codeCommune': '38503', 'nom': 'La Terrasse', 'availableForSeniors': False}",True,45.325431,5.931828,,38503
3324,2740,Carrefour route de Tencin,"{'codeCommune': '38503', 'nom': 'La Terrasse', 'availableForSeniors': False}",True,45.323735,5.932898,,38503
3325,5704,Col de Barioz,"{'codeCommune': '38504', 'nom': 'Theys', 'availableForSeniors': False}",True,45.331332,6.027048,,38504
3326,3028,Thoranne,"{'codeCommune': '38504', 'nom': 'Theys', 'availableForSeniors': False}",True,45.301549,5.994635,,38504
3327,3029,Carret,"{'codeCommune': '38504', 'nom': 'Theys', 'availableForSeniors': False}",True,45.312317,6.009114,,38504
3328,3030,Les Vincents,"{'codeCommune': '38504', 'nom': 'Theys', 'availableForSeniors': False}",True,45.321425,6.018349,,38504
3329,3031,La Roche,"{'codeCommune': '38504', 'nom': 'Theys', 'availableForSeniors': False}",True,45.292504,5.994964,,38504
3330,3032,Les Glapigneux,"{'codeCommune': '38504', 'nom': 'Theys', 'availableForSeniors': False}",True,45.285817,5.997216,,38504
3331,2183,Montée Plateau,"{'codeCommune': '38511', 'nom': 'Le Touvet', 'availableForSeniors': False}",True,45.35909,5.94799,,38511
3332,6873,Grandes terres,"{'codeCommune': '38511', 'nom': 'Le Touvet', 'availableForSeniors': False}",True,45.357898,5.955443,,38511
3333,6874,La Conche,"{'codeCommune': '38511', 'nom': 'Le Touvet', 'availableForSeniors': False}",True,45.351809,5.947218,,38511
3334,6875,La Frette,"{'codeCommune': '38511', 'nom': 'Le Touvet', 'availableForSeniors': False}",True,45.338804,5.942014,,38511
3335,6876,Gendarmerie,"{'codeCommune': '38511', 'nom': 'Le Touvet', 'availableForSeniors': False}",True,45.357582,5.954136,,38511
3336,6886,La Cime,"{'codeCommune': '38511', 'nom': 'Le Touvet', 'availableForSeniors': False}",True,45.364186,5.954817,,38511
3337,2229,Place Jean Jaurès,"{'codeCommune': '38517', 'nom': 'Tullins', 'availableForSeniors': False}",True,45.2959869,5.4829752,,38517
3338,2231,Gare Sud,"{'codeCommune': '38517', 'nom': 'Tullins', 'availableForSeniors': False}",True,45.299701,5.493797,,38517
3339,2232,Condorcet,"{'codeCommune': '38517', 'nom': 'Tullins', 'availableForSeniors': False}",True,45.2979868,5.4858935,,38517
3340,2234,Equipement Sportif,"{'codeCommune': '38517', 'nom': 'Tullins', 'availableForSeniors': False}",True,45.298075,5.498872,,38517
3341,2242,Gare,"{'codeCommune': '38517', 'nom': 'Tullins', 'availableForSeniors': False}",True,45.301133,5.4916549,,38517
3342,2243,Montée de Morette,"{'codeCommune': '38517', 'nom': 'Tullins', 'availableForSeniors': False}",True,45.2989853,5.482378,,38517
3343,2245,Fures Centre,"{'codeCommune': '38517', 'nom': 'Tullins', 'availableForSeniors': False}",True,45.308708,5.495605,,38517
3344,2246,Fures - Pharmacie,"{'codeCommune': '38517', 'nom': 'Tullins', 'availableForSeniors': False}",True,45.309057,5.4961771,,38517
3345,2248,Montée de Renage,"{'codeCommune': '38517', 'nom': 'Tullins', 'availableForSeniors': False}",True,45.309091,5.4955387,,38517
